Date,QQQ
2017-11-09 00:00:00-05:00,146.52587890625
2017-11-10 00:00:00-05:00,146.51634216308594
2017-11-13 00:00:00-05:00,146.69749450683594
2017-11-14 00:00:00-05:00,146.16363525390625
2017-11-15 00:00:00-05:00,145.47720336914062
2017-11-16 00:00:00-05:00,147.33628845214844
2017-11-17 00:00:00-05:00,146.7737579345703
2017-11-20 00:00:00-05:00,146.6593475341797
2017-11-21 00:00:00-05:00,148.25155639648438
2017-11-22 00:00:00-05:00,148.43264770507812
2017-11-24 00:00:00-05:00,148.9761505126953
2017-11-27 00:00:00-05:00,148.9093780517578
2017-11-28 00:00:00-05:00,149.29075622558594
2017-11-29 00:00:00-05:00,146.68798828125
2017-11-30 00:00:00-05:00,147.91786193847656
2017-12-01 00:00:00-05:00,147.28863525390625
2017-12-04 00:00:00-05:00,145.59164428710938
2017-12-05 00:00:00-05:00,145.68695068359375
2017-12-06 00:00:00-05:00,146.3447723388672
2017-12-07 00:00:00-05:00,146.84051513671875
2017-12-08 00:00:00-05:00,147.48886108398438
2017-12-11 00:00:00-05:00,148.6328887939453
2017-12-12 00:00:00-05:00,148.43264770507812
2017-12-13 00:00:00-05:00,148.71868896484375
2017-12-14 00:00:00-05:00,148.61383056640625
2017-12-15 00:00:00-05:00,150.30133056640625
2017-12-18 00:00:00-05:00,151.5614776611328
2017-12-19 00:00:00-05:00,150.66339111328125
2017-12-20 00:00:00-05:00,150.50100708007812
2017-12-21 00:00:00-05:00,150.52011108398438
2017-12-22 00:00:00-05:00,150.34812927246094
2017-12-26 00:00:00-05:00,149.5360565185547
2017-12-27 00:00:00-05:00,149.55516052246094
2017-12-28 00:00:00-05:00,149.73672485351562
2017-12-29 00:00:00-05:00,148.8099822998047
2018-01-02 00:00:00-05:00,151.41815185546875
2018-01-03 00:00:00-05:00,152.88946533203125
2018-01-04 00:00:00-05:00,153.15695190429688
2018-01-05 00:00:00-05:00,154.69509887695312
2018-01-08 00:00:00-05:00,155.29698181152344
2018-01-09 00:00:00-05:00,155.30653381347656
2018-01-10 00:00:00-05:00,154.94349670410156
2018-01-11 00:00:00-05:00,156.00393676757812
